year,month,count
2015,1,2
2015,2,1
2015,3,2
2015,4,1
2015,5,13
2015,6,21
2015,7,15
2015,8,13
2015,9,11
2015,10,11
2015,11,3
2015,12,1
2016,1,1
2016,2,1
2016,4,6
2016,5,17
2016,6,12
2016,7,28
2016,8,23
2016,9,12
2016,10,9
2016,11,3
2017,1,1
2017,3,1
2017,4,2
2017,5,13
2017,6,20
2017,7,13
2017,8,21
2017,9,21
2017,10,9
2017,11,2
2017,12,1
2018,3,1
2018,4,4
2018,5,9
2018,6,9
2018,7,17
2018,8,27
2018,9,21
2018,10,10
2018,11,4
2018,12,2
2019,1,3
2019,2,8
2019,3,6
2019,4,1
2019,5,4
2019,6,11
2019,7,10
2019,8,7
2019,9,4
2019,10,2
2019,11,2
2019,12,13
2020,1,7
2020,2,30
2020,3,12
